manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio,gwp_electronics_ratio,gwp_battery_ratio,gwp_hdd_ratio,gwp_ssd_ratio,gwp_othercomponents_ratio,comment
Lenovo,C22-10/D22-10,,,339.0,0.23,,3.0,WW,2018-06-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-c22-10_d22-10.pdf,82aabbd69363bff44a799dc1701f2797,0.257,0.74,4.46,CN,21.5,,,,,,2025-04-04,Lenovo Auto Parser,0.02,0.01,0.16,,,,,
Lenovo,D19-10/C19-10,,,297.0,0.18,,5.0,WW,2019-07-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-lenovo-d19-10_c19-10.pdf,383949e4d1e73682604d1108fb692e88,0.401,,,CN,18.5,,,,,,2025-04-04,Lenovo Auto Parser,,0.005,0.13,,,,,
Lenovo,TIO27,,,425.0,0.5,,5.0,WW,2018-12-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-thinkcentre-tiny-in-one-27-update.pdf,83635e4ee0827190fe5a1c2777762e5d,0.334,0.47,7.95,CN,,,,,,,2025-04-04,Lenovo Auto Parser,0.02,0.01,,,,,,
Lenovo,Tiny-In-One 24 Gen 3 Touch,,,632.0,,,3.0,WW,2017-07-2,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-thinkvision-tiny-in-one-24-gen3-touch.pdf,cf14213deb3f92240604c17753363839,0.18,,8.12,CN,23.8,,,,,,2025-04-04,Lenovo Auto Parser,,0.005,,,,,,
Lenovo,Tiny-In-One 24 Gen 3,,,632.0,,,3.0,WW,2017-07-2,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-thinkvision-tiny-in-one-24-gen3.pdf,f8d63a4f3342bb769e2f2ce592e32cba,0.18,,8.12,CN,23.8,,,,,,2025-04-04,Lenovo Auto Parser,,0.005,,,,,,
Lenovo,10DQD  –  Tiny-­in-­One  23,,,331.0,0.03,,3.0,EU,,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-thinkvision-tiny-in-one-23.pdf,b78913fa4f1203a7c5acda5eafad33a5,,0.94,7.5,,,,,,,,2025-04-04,Lenovo Auto Parser,0.02,0.01,,,,,,
Lenovo,Tiny-In-One 22 Gen 3 Touch,,,612.0,0.11,,3.0,WW,2017-07-2,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-thinkvision-tiny-in-one-22-gen3-touch.pdf,01e5c549ee58914486b0654e3819fcd4,0.183,0.78,7.6,CN,21.5,,,,,,2025-04-04,Lenovo Auto Parser,0.1,0.01,0.06,,,,,
Lenovo,Tiny-In-One 22 Gen 3,,,612.0,0.11,,3.0,WW,2017-07-2,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-thinkvision-tiny-in-one-22-gen3.pdf,9493f32406579b85ecad697281c0df89,0.183,0.78,7.6,CN,21.5,,,,,,2025-04-04,Lenovo Auto Parser,0.1,0.01,0.06,,,,,
Lenovo,Pro2820D,,,612.0,0.62,,3.0,EU,2016-10-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-thinkvision-pro2820.pdf,03894fda15e1bd2657e214b36f08eb3e,0.193,0.36,7.5,CN,,,,,,,2025-04-04,Lenovo Auto Parser,0.01,0.01,,,,,,
Lenovo,X24 pro,,,256.0,0.41,,3.0,WW,2016-7-0,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-thinkvision-x24-pro.pdf,976fe3960846844fe9d23f15cccb4ff7,0.184,,7.73,CN,23.6,,,,,,2025-04-04,Lenovo Auto Parser,,0.02,,,,,,
